[2023-01-10 20:07:41,818] [Command] Request refreshing the status of game df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:41,818] [Command] Refresh game status df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:41,887] [Command] Locally updating game
[2023-01-10 20:07:41,906] [Command] Processing 0 unprocessed server events
[2023-01-10 20:07:42,418] [Command] Request refreshing the status of game df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:42,418] [Command] Refresh game status df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:42,492] [Command] Locally updating game
[2023-01-10 20:07:42,503] [Command] Processing 0 unprocessed server events
[2023-01-10 20:07:42,718] [Command] Request refreshing the status of game df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:42,718] [Command] Refresh game status df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:42,794] [Command] Locally updating game
[2023-01-10 20:07:42,805] [Command] Processing 0 unprocessed server events
[2023-01-10 20:07:43,318] [Command] Request refreshing the status of game df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:43,318] [Command] Refresh game status df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:43,461] [Command] Locally updating game
[2023-01-10 20:07:43,471] [Command] Processing 0 unprocessed server events
[2023-01-10 20:07:43,518] [Command] Request refreshing the status of game df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:43,518] [Command] Refresh game status df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:43,571] [Command] Locally updating game
[2023-01-10 20:07:43,582] [Command] Processing 0 unprocessed server events
[2023-01-10 20:07:44,817] [Command] Request refreshing the status of game df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:44,817] [Command] Refresh game status df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:44,851] [Command] Locally updating game
[2023-01-10 20:07:44,869] [Command] Processing 0 unprocessed server events
[2023-01-10 20:07:45,919] [Command] Request refreshing the status of game df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:45,919] [Command] Refresh game status df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:45,943] [Command] Locally updating game
[2023-01-10 20:07:45,954] [Command] Processing 0 unprocessed server events
[2023-01-10 20:07:46,318] [Command] Request refreshing the status of game df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:46,318] [Command] Refresh game status df53d079-b3c5-4746-b38e-eac84cf63c65 pointer 6
[2023-01-10 20:07:46,377] [Command] Locally updating game
[2023-01-10 20:07:46,389] [Command] Processing 0 unprocessed server events
[2023-01-10 20:07:46,588] [Command] Request placing a symbol on position 1
[2023-01-10 20:07:46,589] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:07:46,601] [Command] Playing sound select
[2023-01-10 20:07:46,602] [Command] Place a symbol on game df53d079-b3c5-4746-b38e-eac84cf63c65 on position 1
[2023-01-10 20:07:46,616] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:07:46,629] [Command] Playing sound select
[2023-01-10 20:07:46,718] [Command] Chat message event fc5e19aa-511c-42ba-adb4-63a3927b7dac confirmed
[2023-01-10 20:07:46,730] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
[2023-01-10 20:07:46,742] [Command] Playing sound select
[2023-01-10 20:08:41,681] [Command] Playing music main_theme
[2023-01-10 20:08:43,905] [Command] Move forward to lobby
[2023-01-10 20:08:47,481] [Command] Move to game list screen
[2023-01-10 20:08:47,499] [Command] Get Game List
[2023-01-10 20:08:47,803] [Command] Updating game list
[2023-01-10 20:08:48,883] [Command] Request joining game 0d2ef832-21d2-4bed-8c73-1a035e28452c
[2023-01-10 20:08:48,883] [Command] Join game 0d2ef832-21d2-4bed-8c73-1a035e28452c
[2023-01-10 20:08:48,968] [Command] Locally initializing game 0d2ef832-21d2-4bed-8c73-1a035e28452c
[2023-01-10 20:08:48,977] [Command] Playing sound start_game
[2023-01-10 20:08:50,508] [Command] Request refreshing the status of game 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 0
[2023-01-10 20:08:50,508] [Command] Refresh game status 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 0
[2023-01-10 20:08:50,591] [Command] Locally updating game
[2023-01-10 20:08:50,600] [Command] Processing 2 unprocessed server events
[2023-01-10 20:08:50,612] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 created a game
[2023-01-10 20:08:50,623] [Command] Player 8100b129-49c0-4ff1-9d08-3addfa632feb joined the game
[2023-01-10 20:08:50,643] [Command] Playing sound start_game
[2023-01-10 20:08:50,657] [Command] Playing sound start_game
[2023-01-10 20:08:51,007] [Command] Request refreshing the status of game 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 2
[2023-01-10 20:08:51,007] [Command] Refresh game status 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 2
[2023-01-10 20:08:51,080] [Command] Locally updating game
[2023-01-10 20:08:51,088] [Command] Processing 0 unprocessed server events
[2023-01-10 20:08:53,508] [Command] Request refreshing the status of game 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 2
[2023-01-10 20:08:53,508] [Command] Refresh game status 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 2
[2023-01-10 20:08:53,542] [Command] Locally updating game
[2023-01-10 20:08:53,553] [Command] Processing 0 unprocessed server events
[2023-01-10 20:08:54,107] [Command] Request refreshing the status of game 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 2
[2023-01-10 20:08:54,107] [Command] Refresh game status 0d2ef832-21d2-4bed-8c73-1a035e28452c pointer 2
[2023-01-10 20:08:54,195] [Command] Locally updating game
[2023-01-10 20:08:54,205] [Command] Processing 0 unprocessed server events
[2023-01-10 20:08:54,482] [Command] Request placing a symbol on position 1
[2023-01-10 20:08:54,484] [Command] Player 68fff666-88d1-4eea-97a6-bc9b7a546d76 placed a symbol on position 1
